PERMNO,HCOMNAM,HTSYMBOL,HNAICS
11825,CYBEROPTICS CORP,CYBE,334413
11839,MAYFLOWER BANCORP INC,MFLR,522120
11844,COMMUNITY TRUST BANCORP INC,CTBI,551111
11845,W P P PLC NEW,WPPGY,523110
11847,FIRST FRANKLIN CORP,FFHS,522120
11850,EXXON MOBIL CORP,XOM,324110
11866,INDIANA COMMUNITY BANCORP,INCB,522110
11873,IMAGE ENTERTAINMENT INC,DISK,711510
11881,I L X RESORTS INC,ILX,531390
11884,INTERMEDIATE PARFUMS INC,IPAR,325620
11887,K C S ENERGY INC,KCS,211111
11891,M G M RESORTS INTERNATIONAL,MGM,721110
11896,MAXIM INTEGRATED PRODUCTS INC,MXIM,334413
11898,M T S MEDICATION TECHNOLS INC,MTSI,333993
11903,MICRONETICS INC,NOIZ,334418
11908,E D C I HOLDINGS INC,EDCI,334613
11910,TECHTEAM GLOBAL INC,TEAM,541511
11917,PHOENIX TECHNOLOGIES LTD,PTEC,511210
11923,ALLIED DEFENSE GROUP INC,ADG,332993
11927,RESPIRONICS INC,RESP,339113
11946,VELOCITY PORTFOLIO GROUP INC,PGV,522220
11955,WASTE MANAGEMENT INC DEL,WM,562212
11969,ISHARES TRUST,AXHE,525990
11970,AMERICAN POWER CONVERSION CORP,APCC,335999
11972,ISHARES TRUST,AXTE,525990
11976,B M C SOFTWARE INC,BMC,511210
11979,ISHARES TRUST,AXMT,525990
11980,ISHARES TRUST,AXIT,525990
11984,ISHARES TRUST,AXEN,525990
11986,ISHARES TRUST,AXID,525990
11988,ISHARES TRUST,AXSL,525990
11989,ISHARES TRUST,AXDI,525990
11990,K K R & CO L P,KKR,523920
11992,CHEMICAL FINANCIAL CORP,CHFC,522110
11993,LONGWEI PETROLEUM INVT HLDG LTD,LPH,424710
11995,COCA COLA BOTTLING CO CONS,COKE,312111
11996,MARKET VECTORS E T F TRUST,EMLC,525990
11998,CONCORD CAMERA CORP,LENS,333315
11999,MOLYCORP INC DE,MCP,212299
12007,WESTMORELAND RESOURCE PTNRS LP,WMLP,212111
12008,DYCOM INDUSTRIES INC,DY,237130
12009,QUAD GRAPHICS INC,QUAD,323111
12011,REALD INC,RLD,334220
12014,CHINA BOTANIC PHARMACEUTICAL INC,CBP,522310
12015,TORTOISE M L P FUND INC,NTG,525990
12017,VRINGO INC,VRNG,541511
12018,IAO KUN GROUP HOLDING CO LTD,IKGH,511210
12021,AUTONAVI HOLDINGS LIMITED,AMAP,511210
12022,GENLYTE GROUP INC,GLYT,335122
12023,AOXIN TIANLI GROUP INC,ABAC,112210
12025,PEOPLES FEDERAL BANCSHARES INC,PEOP,522120
12026,QLIK TECHNOLOGIES INC,QLIK,511210
12027,SMART TECHNOLOGIES INC,SMT,334413
12030,T H T HEAT TRANSFER TECHNOL INC,THTI,332410
12032,ZOO ENTERTAINMENT INC,ZOOG,511210
12034,SPROTT PHYSICAL GOLD TRUST,PHYS,525990
12035,ALPS E T F TRUST,AMLP,525990
12036,G A T X CORP,GMT,488999
12038,AMBOW EDUCATION HOLDING LTD,AMBO,611691
12039,BLACKROCK BUILD AMERICA BOND TR,BBN,525990
12043,CHINA KANGHUI HOLDINGS,KH,541710
